,Date,Open*,High,Low,Close**,Volume,Market Cap,price
1663,2017-11-16,7323.24,7967.38,7176.58,7871.69,5123809792.0,122164264960,7323.24
1664,2017-11-17,7853.57,8004.59,7561.09,7708.99,4651670016.0,131026165760,7853.57
1665,2017-11-18,7697.21,7884.99,7463.44,7790.15,3667190016.0,128424927232,7697.21
1666,2017-11-19,7766.03,8101.91,7694.1,8036.49,3149319936.0,129594712064,7766.03
1667,2017-11-20,8039.07,8336.86,7949.36,8200.64,3488450048.0,134167306240,8039.07
1668,2017-11-21,8205.74,8348.66,7762.71,8071.26,4277609984.0,136966864896,8205.74
1669,2017-11-22,8077.95,8302.26,8075.47,8253.55,3633530112.0,134851436544,8077.95
1670,2017-11-23,8232.38,8267.4,8038.77,8038.77,4225179904.0,137444474880,8232.38
1671,2017-11-24,8074.02,8374.16,7940.93,8253.69,5058610176.0,134816366592,8074.02
1672,2017-11-25,8241.71,8790.92,8191.15,8790.92,4342060032.0,137631875072,8241.71
1673,2017-11-26,8789.04,9522.93,8775.59,9330.55,5475579904.0,146789220352,8789.04
1674,2017-11-27,9352.72,9818.35,9352.72,9818.35,5653320192.0,156221046784,9352.72
1675,2017-11-28,9823.43,10125.7,9736.3,10058.8,6348819968.0,164104404992,9823.43
1676,2017-11-29,10077.4,11517.4,9601.03,9888.61,11568799744.0,168366702592,10077.4
1677,2017-11-30,9906.79,10801.0,9202.05,10233.6,8310689792.0,165537480704,9906.79
1678,2017-12-01,10198.6,11046.7,9694.65,10975.6,6783119872.0,170435903488,10198.6
1679,2017-12-02,10978.3,11320.2,10905.1,11074.6,5138500096.0,183489593344,10978.3
1680,2017-12-03,11082.7,11858.7,10862.0,11323.2,6608309760.0,185258246144,11082.7
1681,2017-12-04,11315.4,11657.2,11081.8,11657.2,6132409856.0,189172383744,11315.4
1682,2017-12-05,11685.7,12032.0,11604.6,11916.7,6895260160.0,195389161472,11685.7
1683,2017-12-06,11923.4,14369.1,11923.4,14291.5,12656300032.0,199390003200,11923.4
1684,2017-12-07,14266.1,17899.7,14057.3,17899.7,17950699520.0,238599536640,14266.1
1685,2017-12-08,17802.9,18353.4,14336.9,16569.4,21135998976.0,297786572800,17802.9
1686,2017-12-09,16523.3,16783.0,13674.9,15178.2,13911300096.0,276415348736,16523.3
1687,2017-12-10,15168.4,15850.6,13226.6,15455.4,13433299968.0,253781737472,15168.4
1688,2017-12-11,15427.4,17513.9,15404.8,16936.8,12153900032.0,258146762752,15427.4
1689,2017-12-12,16919.8,17781.8,16571.6,17415.4,14603799552.0,283154612224,16919.8
1690,2017-12-13,17500.0,17653.1,16039.7,16408.2,12976900096.0,292900372480,17500.0
1691,2017-12-14,16384.6,17085.8,16185.9,16564.0,13777399808.0,274268504064,16384.6
1692,2017-12-15,16601.3,18154.1,16601.3,17706.9,14309999616.0,277935587328,16601.3
1693,2017-12-16,17760.3,19716.7,17515.3,19497.4,12740599808.0,297375760384,17760.3
1694,2017-12-17,19475.8,20089.0,18974.1,19140.8,13314599936.0,326141280256,19475.8
1695,2017-12-18,19106.4,19371.0,18355.9,19114.2,14839499776.0,320000294912,19106.4
1696,2017-12-19,19118.3,19177.8,17275.4,17776.7,16894499840.0,320242253824,19118.3
1697,2017-12-20,17760.3,17934.7,16077.7,16624.6,22149699584.0,297526394880,17760.3
1698,2017-12-21,16642.4,17567.7,15342.7,15802.9,16516599808.0,278826811392,16642.4
1699,2017-12-22,15898.0,15943.4,11833.0,13831.8,22197999616.0,266381426688,15898.0
1700,2017-12-23,13948.7,15603.2,13828.8,14699.2,13086000128.0,233747824640,13948.7
1701,2017-12-24,14608.2,14626.0,12747.7,13925.8,11572299776.0,244823687168,14608.2
1702,2017-12-25,13995.9,14593.0,13448.9,14026.6,10664699904.0,234589569024,13995.9
1703,2017-12-26,14036.6,16461.2,14028.9,16099.8,13454300160.0,235294408704,14036.6
1704,2017-12-27,16163.5,16930.9,15114.3,15838.5,12487600128.0,270976270336,16163.5
1705,2017-12-28,15864.1,15888.4,13937.3,14606.5,12336499712.0,265988489216,15864.1
1706,2017-12-29,14695.8,15279.0,14307.0,14656.2,13025500160.0,246427598848,14695.8
1707,2017-12-30,14681.9,14681.9,12350.1,12952.2,14452599808.0,246223912960,14681.9
1708,2017-12-31,12897.7,14377.4,12755.6,14156.4,12136299520.0,216325586944,12897.7
